title,compay,location,link
2022년 하반기 IT 직무 수시,선진,대한민국,https://kr.indeed.com/viewjob?jk=e67cba6ba406ea90
라인프렌즈 2022년 각 부문 수시,라인프렌즈,서울 용산구,https://kr.indeed.com/viewjob?jk=1015284880e2ff62
[우리에프아이에스] 경력직 직원,우리에프아이에스,서울 마포구,https://kr.indeed.com/viewjob?jk=f372ca61fa5a0a18
"2022년 제3차 직원(사무직,업무직)",120다산콜재단,서울 동대문구,https://kr.indeed.com/viewjob?jk=2a17dfe5b54e14dd
딥러닝 기반 Computer Vision 개발자,에스케이텔레콤,서울 중구,https://kr.indeed.com/viewjob?jk=4cf24d3dd5919469
(신입/인턴) 리서치 사회조사 연구원,리서치앤유,서울 성동구,https://kr.indeed.com/viewjob?jk=a8a2e292ef8b0528
빅데이터 플랫폼(인프라) 운영 담당자 영입,카카오페이증권,성남 분당구,https://kr.indeed.com/viewjob?jk=7d25ed345d03c120
Kafka 담당자 영입,카카오페이,성남 분당구,https://kr.indeed.com/viewjob?jk=97e9de2381da633d
[TmaxOS/R&D] OS부문 개발자,티맥스소프트,성남 분당구,https://kr.indeed.com/viewjob?jk=c77efc7bb98239d8
[11번가] 데이터 엔지니어 분야,십일번가,서울 중구,https://kr.indeed.com/viewjob?jk=148c1a1c1cbd1419
(인천 송도) 인공지능(AI)분야 Python 개발 인력,애나,인천 연수구,https://kr.indeed.com/viewjob?jk=b6a035d43f41e23b
빅데이터 분야,LG유플러스,서울,https://kr.indeed.com/viewjob?jk=67c19d7ac0857ecd
[선행기술원] Virtual검증 _ 검증/해석[책임연구원],현대자동차그룹,성남 판교역,https://kr.indeed.com/viewjob?jk=0d571c647c477c68
Python 기반 빅데이터 처리 개발자,드림어스컴퍼니,서울 서초구,https://kr.indeed.com/viewjob?jk=d364360d1e0368e3
[뉴플랫폼기술] 클라우드 엔지니어(보안),한국카카오은행,성남 분당구,https://kr.indeed.com/viewjob?jk=89f4196100a94fab
AI 분야,LG유플러스,서울,https://kr.indeed.com/viewjob?jk=abdc136f65ceddd4
백엔드 개발자(Python),액스,서울 서초구,https://kr.indeed.com/viewjob?jk=24d38e6721dfb0e4
[HW직군 R&D Track] 2022년 하반기 수시,쎄트렉아이,대전 유성구,https://kr.indeed.com/viewjob?jk=791f79d5a0b3aad0
[네이버계열사][NIT Service] 네이버 파이낸셜 플랫폼 운영,엔아이티서비스,성남 분당구,https://kr.indeed.com/viewjob?jk=f77f9abb42c655b7
[글로벌디지털마케팅] 디지털 데이터 분석 및 운영 담당자 정규직,콘센트릭스서비스코리아,성남 분당구,https://kr.indeed.com/viewjob?jk=6bf4082df7c99159
서명 서비스 개발,안랩,성남 분당구,https://kr.indeed.com/viewjob?jk=125d993318155459
2022년 상반기 백엔드 개발자,반달소프트,성남 분당구,https://kr.indeed.com/viewjob?jk=1601f1bfe3302af5
침해분석대응 (CERT) 인력 모집,엔씨소프트,성남 판교역,https://kr.indeed.com/viewjob?jk=7d6a16d25a48550f
[디엠씨코넷] 빅데이터 분석 기반 비즈니스개발자 양성 & 취업연계 과정 교육생,링크드코리아,세종특별자치시 세종,https://kr.indeed.com/viewjob?jk=2fadb392d2b98351
양자컴퓨팅 및 MI(Material Informatics) 신입/경력,LG이노텍,서울 강서구,https://kr.indeed.com/viewjob?jk=f2eb8cf19b84b2c8
Data Scientist (KOREA),No deviation Pte Ltd,충청북도 청주,https://kr.indeed.com/viewjob?jk=ea23e376c32ece8b
[인텔리전스랩스] 데이터 분석가 (ML 모델 및 서비스 분석),Nexon,경기도 성남,https://kr.indeed.com/viewjob?jk=7b89aebb86d5058d
[kt ds] 2022년 각 부문별 경력사원 수시,케이티디에스,서울 서초구,https://kr.indeed.com/viewjob?jk=b515669e8032265b
서버 개발자 Python(Django) Developer (주니어),아테나스랩,서울 마포구,https://kr.indeed.com/viewjob?jk=4abf59df14cb4390
Web 개발,안랩,성남 분당구,https://kr.indeed.com/viewjob?jk=78b250efff5c4ede
클라우드 기술지원 엔지니어,NHN Enterprise,성남 판교역,https://kr.indeed.com/viewjob?jk=df0bb90702bee2ac
[11번가] System Engineer 분야,십일번가,서울 중구,https://kr.indeed.com/viewjob?jk=60316b7ad62ed396
[진행중] MyData사업부 전문직(데이터 사이언티스트) 채용공고,우리은행,서울 회현동,https://kr.indeed.com/viewjob?jk=b17c4bc74e4c9973
[외국계 스타트업 미소] Business Analyst Intern (정규직 전환형),유한회사 미소,서울,https://kr.indeed.com/viewjob?jk=4c25d6649f8434a8
코딩에 빠진 수퍼 개발자 (펌웨어 개발),에바,성남 수정구,https://kr.indeed.com/viewjob?jk=f54bac6c78fd3240
[카카오커머스] 기술직군,카카오커머스,성남 분당구,https://kr.indeed.com/viewjob?jk=2b9e604e63e7e46d
전문연구요원 (병역특례) 수시 (AI / HW 분야),딥엑스,성남 분당구,https://kr.indeed.com/viewjob?jk=78e99625e5de3c95
JR0186078 AI Research Engineer Intern,인텔코리아,서울,https://kr.indeed.com/viewjob?jk=016de9bb83a8032d
한국행동과학연구소 각 부문 수시,한국행동과학연구소,서울 강남구,https://kr.indeed.com/viewjob?jk=287a2f9783758916
"S/W 엔지니어, 데이터분석 신입/경력 정규직, 인턴",가치랩스,성남 분당구,https://kr.indeed.com/viewjob?jk=5ea9ea023c6ccc03
"자율 주행, 로봇 SW 개발자",에바,성남 수정구,https://kr.indeed.com/viewjob?jk=e30fe92d72ceb17c
MongoDB 담당자 영입,카카오페이,성남 분당구,https://kr.indeed.com/viewjob?jk=d05ef478cc8a9f08
"2022년 상반기 주식회사 쏘마 전 개발 직군 (백엔드, 프론트엔드 외 신입/경력 정규직)",쏘마,성남 분당구,https://kr.indeed.com/viewjob?jk=13ef6f86810c0843
패션고 추천모델링 연구 개발,NHN FashionGo korea,성남 판교역,https://kr.indeed.com/viewjob?jk=e13c32ba4eff23da
모바일 악성코드 분석,안랩,성남 분당구,https://kr.indeed.com/viewjob?jk=e48254095291d67d
경남 인공지능/블록체인 교육과정 (2022 ICT이노베이션스케워 확산 사업),재단법인 한국에이아이블록체인융합원,대한민국,https://kr.indeed.com/viewjob?jk=df1a4900d5aaae78
[빅데이터플랫폼] 데이터 엔지니어,한국카카오은행,성남 분당구,https://kr.indeed.com/viewjob?jk=0b305608d55da082
데이터 분석 및 개발,안랩,성남 분당구,https://kr.indeed.com/viewjob?jk=352a50bc5536d3c3
[AI개발팀] 인공지능(AI)개발 담당 신규직원,휴하리,대전 대덕구,https://kr.indeed.com/viewjob?jk=b226ec2a627c6bd3
[SuperLabs] AI 개발자,스노우,성남 분당구,https://kr.indeed.com/viewjob?jk=a0174d4b28f83aa4
[TmaxEdu/R&D] Edu 연구 개발자,티맥스소프트,성남 분당구,https://kr.indeed.com/viewjob?jk=3f8f8c0b6c5c37c8
